Komoditas_Provinsi,MAPE
Minyak Goreng Curah_Nusa Tenggara Barat,0.008895850800104138
Minyak Goreng Curah_Nusa Tenggara Timur,0.018193955242495178
Minyak Goreng Curah_Papua Barat,0.05295315138528987
Minyak Goreng Curah_Papua,0.017433790133499976
Minyak Goreng Curah_Riau,0.011915269731312262
Minyak Goreng Curah_Sulawesi Barat,0.01174339850522298
Minyak Goreng Curah_Sulawesi Selatan,0.012918674731809085
Minyak Goreng Curah_Sulawesi Tengah,0.01933117163077353
Minyak Goreng Curah_Sulawesi Tenggara,0.01365299403029427
Minyak Goreng Curah_Sulawesi Utara,0.021178100685790034
Minyak Goreng Curah_Sumatera Barat,0.005920983608940129
Minyak Goreng Curah_Sumatera Selatan,0.004491872214431205
Minyak Goreng Curah_Sumatera Utara,0.020927773300392433
Minyak Goreng Kemasan Sederhana_Aceh,0.006988345881643511
Minyak Goreng Kemasan Sederhana_Bali,0.005550914136837063
Minyak Goreng Kemasan Sederhana_Banten,0.013854652532020565
Minyak Goreng Kemasan Sederhana_Bengkulu,0.009982701487224601
Minyak Goreng Kemasan Sederhana_DI Yogyakarta,0.005591827643318672
Minyak Goreng Kemasan Sederhana_DKI Jakarta,0.00592639331335217
Minyak Goreng Kemasan Sederhana_Gorontalo,0.008041553045301788
Minyak Goreng Kemasan Sederhana_Jambi,0.004941791476112138
Minyak Goreng Kemasan Sederhana_Jawa Barat,0.005685686001287873
Minyak Goreng Kemasan Sederhana_Jawa Tengah,0.0066054100785301224
Minyak Goreng Kemasan Sederhana_Jawa Timur,0.005132540974792843
Minyak Goreng Kemasan Sederhana_Kalimantan Barat,0.0067009718048597604
Minyak Goreng Kemasan Sederhana_Kalimantan Selatan,0.010911227118500122
Minyak Goreng Kemasan Sederhana_Kalimantan Tengah,0.009762483405812716
Minyak Goreng Kemasan Sederhana_Kalimantan Timur,0.01080232720261503
Minyak Goreng Kemasan Sederhana_Kalimantan Utara,0.009400163182846644
Minyak Goreng Kemasan Sederhana_Kepulauan Bangka Belitung,0.00856340180040097
Minyak Goreng Kemasan Sederhana_Kepulauan Riau,0.0105865723869801
Minyak Goreng Kemasan Sederhana_Lampung,0.005085330194311749
Minyak Goreng Kemasan Sederhana_Maluku Utara,0.012850082569897484
Minyak Goreng Kemasan Sederhana_Maluku,0.03640132305779391
Minyak Goreng Kemasan Sederhana_Nusa Tenggara Barat,0.017760000532065418
Minyak Goreng Kemasan Sederhana_Nusa Tenggara Timur,0.00846251597945922
Minyak Goreng Kemasan Sederhana_Papua Barat,0.02959669203576987
Minyak Goreng Kemasan Sederhana_Papua,0.03891778435267563
Minyak Goreng Kemasan Sederhana_Riau,0.005816725723935029
Minyak Goreng Kemasan Sederhana_Sulawesi Barat,0.009862919149694817
Minyak Goreng Kemasan Sederhana_Sulawesi Selatan,0.004331658847369048
Minyak Goreng Kemasan Sederhana_Sulawesi Tengah,0.008473897456265991
Minyak Goreng Kemasan Sederhana_Sulawesi Tenggara,0.006792059261636742
Minyak Goreng Kemasan Sederhana_Sulawesi Utara,0.006985822473564727
Minyak Goreng Kemasan Sederhana_Sumatera Barat,0.008866951229738285
Minyak Goreng Kemasan Sederhana_Sumatera Selatan,0.003433036733681509
Minyak Goreng Kemasan Sederhana_Sumatera Utara,0.005867625412775543
Telur Ayam Ras_Aceh,0.009618249208862818
Telur Ayam Ras_Bali,0.009589021647833044
